title;media;link;category;text
Jungkook Rilis Album Solo Perdana, Golden Halaman all;Kompas;https://www.kompas.com/hype/read/2023/11/03/093714966/jungkook-rilis-album-solo-perdana-golden%3Fpage%3Dall ;Hiburan;"KOMPAS.com - Jungkook BTS merilis album solo perdananya, Golden, pada Jumat (3/11/2023) pukul 13.00 KST atau 11.00 WIB.

Album tersebut berisi 10 lagu yang semuanya berbahasa Inggris.

Agensinya, BigHit Music, mengatakan album tersebut menampilkan perjalanan Jungkook, dari seorang maknae (anggota termuda) BTS yang berevolusi menjadi bintang pop global.

Dilansir Yonhapnews, Jungkook BTS terlibat sepenuhnya dalam proses pembuatan album Golden.

Jungkook ikut memilih lagu dari berbagai genre untuk menunjukkan spektrum musiknya yang luas.

Baca juga: Jungkook BTS Samai Rekor PSY di Billboard Hot 100

Album Golden menampilkan ""Standing Next to You"" sebagai title track atau lagu utama.

Selain itu ada lagu ""Closer to You (feat. Major Lazer)"" dan ""Yes or No (feat. Shawn Mendes)"".

Dua singel yang sudah dirilis sebelumnya, ""Seven (feat. Latto)"" dan ""3D (feat. Jack Harlow)"" juga masuk dalam album tersebut.

Dalam siaran pers yang dirilis BigHit Music, Jungkook menata rapi perjalanan emosional sebuah hubungan yang berubah, dimulai dari lagu-lagu yang rancak, yang menunjukkan seseorang yang jatuh cinta.

Perjalanan itu berpindah ke lagu-lagu melankolis yang menunjukkan emosi ketika sedang patah hati.

Baca juga: Jungkook BTS Jadi Solois Korea Pertama yang Tempati Top 10 Global Spotify dengan 3 Lagu"
Tak Mau Disebut Serakah, Inara Jelaskan Alasan Tuntut Virgoun Nafkah Anak Rp 12 Miliar - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/11/03/083603266/tak-mau-disebut-serakah-inara-jelaskan-alasan-tuntut-virgoun-nafkah-anak-rp;Hiburan;"JAKARTA, KOMPAS.com- Istri penyanyi Virgoun, Inara Rusli jelaskan alasan pihaknya menuntut nafkah anak sebesar Rp 12 miliar.

Inara mengatakan keputusan tentang besarnya nominal itu diambil setelah mempertimbangkan beberapa hal, bukan karena dia serakah.

""Pertama, kan ada cap serakah. Pemahaman serakah itu kan ingin memiliki hak orang lain, sesuatu yang bukan hak kita,"" ujar Inara dikutip dari Rumpi Trans tv.

""Tapi dalam hal ini aku menuntut yang sudah menjadi hak anak-anak,"" lanjutnya.

Baca juga: Inara Rusli Buka Peluang Berdamai dengan Virgoun dan Tenri Ajeng

Lebih lanjut Inara menjelaskan asal mula munculnya gugatan Rp 12 miliar.

""Kenapa tersebut nominal Rp 12 miliar, dari pertimbangan kuasa hukum aku sendiri, pertimbangannya berdasarkan survei lembaga ekonomi,"" kata Inara.

""Kebutuhan anak di zaman sekarang ini untuk usia golden age, 10 tahun kebawah itu memakan biaya Rp 3-4 miliar sampai dia kuliah, per anak, dari situ kenapa akhirnya tersebut nominal sekian,"" jelasnya.

Selain itu, Inara juga mengaku sudah mempertimbangkan kesanggupan Virgoun setelah melihat royalti lagu dan penghasilan lainnya yang dimiliki Virgoun.

Baca juga: Inara Rusli Pastikan Virgoun Masih Tanggung Jawab Biayai Sekolah Anak

""Aku juga mempertimbangkan dari sisi profesi dia sebagai musisi yang Alhamdulillah dia sampai hari ini punya pekerjaan masih ramai,"" tutur Inara.

""Royalti YouTube juga masih berjalan dengan viewers lumayan banyak. Jadi apa yang aku pertimbangkan itu sesuai kemampuan dia,"" sambung Inara."
Pernah Jadi Pacar Prilly Latuconsina, Kiki TBA Beberkan Tanggapan Kekasihnya - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/11/01/145726966/pernah-jadi-pacar-prilly-latuconsina-kiki-tba-beberkan-tanggapan-kekasihnya;Hiburan;"JAKARTA, KOMPAS.com - Penyanyi Teuku Ryzki atau Kiki TBA membeberkan tanggapan kekasihnya setelah mengetahui bahwa ia pernah menjadi mantan pacar aktris Prilly Latuconsina.

Diketahui saat ini Kiki berpacaran dengan Gabby Bunga Saputra.

Cerita tersebut terkuak saat Kiki dan Prilly hadir dalam kanal YouTube Deddy Corbuzier.

“Reaksi pacar ya yang penting semuanya perlu dikomunikasikan, yang penting enggak mau juga kalau hal ini mengganggu hubungan yang sudah ada,” kata Kiki saat ditemui di daerah Gunawarman, Jakarta Selatan, Rabu (1/11/2023).

Baca juga: Pernah Pacaran, Kiki TBA Ungkap Alasan Tertarik dengan Prilly Latuconsina

“Makanya sama-sama saling respect, sama-sama saling ngerti bahwa ini kebutuhannya sudah flashback segala macam,” tambah Kiki.

Kiki pun tak menyangka bahwa terkuaknya fakta menarik ini kian ramai di media sosial.

“Karena kan cewek gue yang sekarang juga tahu kalau gue mantannya Prilly, cuma kemarin di-blow up terus jadi (ramai). Kebetulan viralnya gue enggak nyangka ya, kan viral banget,” ujar Kiki.

Kiki berujar bahwa itu sudah menjadi cerita masa lalu.

Baca juga: Ketika Bastian Steel Tanggapi Kabar Pernah Dekati Prilly Latuconsina...

Saat ini, dia dan Prilly menjadi teman.

“Gue sama Prilly itu benar-benar sahabatan dan dia udah punya personal life sendiri,” ucap Kiki.

“Jadi kita berdua sekarang sudah bener sahabatan aja, sudah temenan banget,” tambah Kiki."
Polisi Ungkap Fakta Baru di Balik Kematian Matthew Perry - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/11/01/145125766/polisi-ungkap-fakta-baru-di-balik-kematian-matthew-perry;Hiburan;"KOMPAS.com - Tim penyidik kepolisian LA menjelaskan fakta baru di balik kematian aktor Matthew Perry.

Polisi menyebut tubuh Matthew Perry tidak tenggelam dalam waktu yang lama sebelum dinyatakan meninggal dunia, dilansir The Seattle Times, dikutip Kompas.com, Rabu (1/11/2023).

Artinya, bintang serial Friends berusia 54 tahun itu hanya tenggelam beberapa saat sebelum tim pertolongan pertama tiba di tempat kejadian.

Baca juga: Duka Para Bintang Friends atas Kepergian Matthew Perry

Penyebab kematian Matthew Perry secara resmi masih belum bisa dipastikan.

Sementara laporan resmi soal toksikologi atau racun yang berada di dalam tubuh Perry barulah terungkap dalam waktu minimal enam minggu.

Tidak ada obat-obatan terlarang yang ditemukan di kediaman Matthew Perry.

Pihak berwenang hanya menemukan obat antidepresan, obat anticemas, dan obat yang digunakan untuk menangani Penyakit Paru Obstruktif Kronik (PPOK).

Baca juga: Adele Beri Penghormatan kepada Matthew Perry, Sebut Bintang Sitkom Friends Itu Pemberani

Sebagai informasi, Matthew Perry ditemukan meninggal dunia di bak jacuzzi di rumahnya di Los Angeles, Sabtu (28/10/2023) sore waktu setempat.

Pagi sebelum kejadian, Perry dilaporkan tiba di rumahnya setelah berolahraga selama dua jam.

Perry kemudian menyuruh asistennya untuk suatu keperluan, yang memakan waktu sekitar dua jam.

Asisten Perry lalu menelepon 911 setelah kembali dan menemukan Matthew tidak sadarkan diri di bak jacuzzi."
Matthew Perry Ditemukan Meninggal di Bak Jaccuzi, Tak Ada Narkoba dan Tanda Kekerasan - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/29/174052466/matthew-perry-ditemukan-meninggal-di-bak-jaccuzi-tak-ada-narkoba-dan-tanda;Hiburan;"KOMPAS.com - Aktor Matthew Perry ditemukan meninggal dunia di bak jacuzzi di rumahnya di Los Angeles, Sabtu (28/10/2023) waktu setempat.

Hingga berita ini diturunkan, belum ada rincian lebih lanjut mengenai penyebab pasti kematian Perry.

Menurut TMZ dilansir dari Marca, tidak ada narkoba atau obat-obatan terlarang yang ditemukan di tempat kejadian.

Baca juga: Polisi Selidiki Penyebab Kematian Matthew Perry

Selain itu, sebuah sumber juga mengatakan tidak ada tanda penganiayaan atau kekerasan yang dialami Perry sebelim meninggal dunia.

""Kami merespons blok 1.800 Blue Sail Rd untuk penyelidikan kematian seorang pria pada pukul 16.10 sore ini. Dia berusia 50-an,"" kata Departemen Kepolisian Los Angeles dalam sebuah pernyataan.

Pagi sebelum kejadian, Perry dilaporkan tiba di rumahnya setelah berolahraga selama dua jam.

Baca juga: Duka Warner Bros atas Kepergian Matthew Perry Bintang Friends

Perry kemudian mengirim asistennya untuk suatu keperluan, yang memakan waktu sekitar dua jam.

Asisten Perry lalu menelepon 911 setelah kembali dan menemukan Matthew tidak sadarkan diri.

Saat ini, kepolisian Los Angeles mulai menyelidiki penyebab kematian Matthew Perry.

Baca juga: Profil Matthew Perry, Bintang Serial Friends

Dilansir Daily Mail, ibu, ayah, dan ayah tiri Matthew Perry terlihat tiba di rumah Matthew beberapa jam setelah aktor Friends itu meninggal dunia.

Polisi sudah menutup lokasi kejadian untuk kepentingan penyelidikan.

Sebuah tenda putih telah didirikan di samping kolam renang dan bak mandi air panas, tempat jasad Matthew ditemukan."
Jungkook BTS Menang Penghargaan di TikTok Awards Thailand 2023 - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/29/094716266/jungkook-bts-menang-penghargaan-di-tiktok-awards-thailand-2023;Hiburan;"JAKARTA, KOMPAS.com - Member boy group BTS, Jungkook, berhasil meraih penghargaan International Song of the Year di TikTok Awards Thailand 2023.

Jungkook memenangi penghargaan tersebut dengan lagu hitsnya, ""Seven (feat. Latto)"".

Saat pengumuman penghargaan itu dibacakan, Jungkook tidak hadir dan hanya menyampaikan ucapan terima kasih lewat video.

""Saya ingin mengucapkan terima kasih karena telah menjadikan lagu saya ""Seven"" sebagai lagu internasional terbaik tahun ini untuk TikTok Awards Thailand 2023,"" kata Jungkook dilansir dari Allkpop, Minggu (29/10/2023).

""Saya sangat berterima kasih atas dukungan Anda. Terima kasih,"" ujarnya.

Baca juga: Cerita Raisa Bisa Lihat Jungkook BTS dari Dekat

Sebelumnya, lagu ""Seven"" sudah mendapatkan banyak penghargaan dari ajang musik internasional salah satunya di MTV Video Music Awards 2023.

Sebagai informasi, Jungkook debut bersama BTS pada 13 Juni 2013 dengan lagu ""No More Dream"" dari album perdana ""2 Cool 4 Skool"".

Di BTS, Jungkook menduduki posisi vokalis utama, penari, dan sub-rapper.

Pemilik nama asli Jeon Jungkook ini juga beberapa kali ikut serta dalam penulisan lagu-lagu yang dibawakan BTS, seperti ""Begin"" dan ""Magic Shop"".

Jungkook juga merupakan anggota termuda di BTS dan mendapat julukan ""Golden Maknae"" karena bisa melakukan banyak hal mulai dari menyanyi, menari, rap, dan olahraga.

Baca juga: Jungkook BTS Akan Berkolaborasi dengan David Guetta"
Indah Permatasari Santai Tanggapi Komentar Ibunda Terhadap Arie Keriting - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/28/191626766/indah-permatasari-santai-tanggapi-komentar-ibunda-terhadap-arie-keriting;Hiburan;"JAKARTA, KOMPAS.com - Aktris peran Indah Permatasari menanggapi komentar ibunya terhadap Arie Keriting dengan santai.

Sebagai informasi, Nursyah, ibunda Indah Permatasari, tak pernah merestui Arie Keriting untuk menikahi putrinya.

Nursyah bahkan menuding Arie Keriting menggunakan ilmu hitam untuk menaklukan hati Indah.

“Enggak apa-apa, melihat tapi enggak pernah mau gimana-gimana. Karena pada akhirnya aku dan Bang Arie yang menjalani ini kan,” kata Indah saat ditemui di Jakarta Pusat, Sabtu (28/10/2023).

Indah Permatasari mengatakan bahwa selama ini Arie Keriting sudah berjuang mendapatkan restu dari ibunya.

Baca juga: Indah Permatasari Puji Ketelatenan Arie Kriting dalam Merawat Anak

Namun semua usaha itu tetap belum membuahkan hasil.

“Sejujurnya ada banget perjuangan dia. Cuma kan kita enggak mungkin bicarakan ini ke publik. Biarkan itu jadi cerita kita,” kata Indah.

Arie Keriting menambahkan bahwa saat ini dirinya sudah pasrah dengan semua tanggapan mertuanya.

“Kami sudah berusaha, serahkan sama Allah aja,"" kata Arie.

""Kita percaya Allah maha membalik-balikkan perasaan. Kalau sampai akhirnya perasaannya bisa dibalikkan untuk bisa menerima kami, alhamdulillah,” ucap Arie menambahkan.

Arie Keriting dan Indah Permatasari menikah pada 12 Januari 2021.

Keduanya sudah dikaruniai seorang anak laki-laki yang masih dirahasiakan wajah dan namanya."
Tak Mau Muncul di Podcast, Nicholas Saputra: Hidup Gue Enggak Menarik buat Diceritain - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/25/111909066/tak-mau-muncul-di-podcast-nicholas-saputra-hidup-gue-enggak-menarik-buat;Hiburan;"JAKARTA, KOMPAS.com - Aktor Nicholas Saputra membantah dirinya sengaja mengeksklusifkan diri dengan tidak mau muncul di podcast-podcast.

Nicholas Saputra justru memiliki pandangan bahwa kehidupannya tidak cukup menarik untuk diceritakan.

""Enggak (karena eksklusif), gue enggak merasa hidup gue menarik aja buat diceritain,"" ucap Nicholas Saputra dikutip dari YouTube Melaney Ricardo.

Bintang film Gie itu juga mengatakan, saat melihat podcast orang lain, mereka terlihat memiliki cerita hidup yang menarik.

Baca juga: Ungkap Alasan Jarang Posting Instagram, Nicholas Saputra: Berarti Gue Lagi Sibuk Kerja

Sementara Nico sendiri merasa cerita hidupnya biasa saja.

""Kalau nonton podcast semua menarik. Gue kayaknya enggak segitu menariknya,"" kata Nico.

""Menurut gue, banyak orang yang punya cerita lebih menarik dibanding gue hadir di podcast itu,"" sambungnya.

Bahkan, Nico mengaku bingung seandainya dia bersedia podcast, orang akan bertanya apa tentang dirinya.

Baca juga: Rahasia Nicholas Saputra Tetap Konsisten Menjaga Privasi dan Hidup Seimbang: Bilang Tidak

""Gue mau ditanya apa? Entar gue mau ngomong apa?"" tutur Nico.

Bukan berarti Nico tidak mau membagikan cerita. Aktor berusia 39 tahun ini mau saja berbagi cerita, tapi tentu saja bukan tentang kehidupan pribadi."
Tak Masalah Uki Tetap Pakai Nama NOAH meski Sudah Hengkang, Ariel: Kalau Ada yang Keberatan Gue Tampar - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/12/210913366/tak-masalah-uki-tetap-pakai-nama-noah-meski-sudah-hengkang-ariel-kalau-ada;Hiburan;"KOMPAS.com – Vokalis NOAH, Ariel, mengaku tak masalah jika sahabatnya Uki Kautsar tetap menggunakan nama NOAH meski sudah hengkang dari band.

Diketahui, Uki yang berposisi sebagai gitaris hengkang dari NOAH pada tahun 2019.

Menurut Ariel, dirinya pribadi tak pernah mempersoalkan Uki mau menyematkan nama eks NOAH atau NOAH sekalipun di belakang nama pribadinya.

Baca juga: Bantah Andika Dikeluarkan dari Peterpan, Uki: Awalnya Saya, Ariel Diikuti Lukman dan Reza yang Ingin Keluar

“Kami enggak pernah ada masalah soal Uki eks NOAH, Uki kalau masih mau pakai nama NOAH juga kami enggak masalah,” ucap Ariel seperti dikutip dari kanal YouTube Serlok Kuliner, Kamis (12/10/2023).

Ariel menyampaikan ini lantaran kontribusi Uki yang besar atas perkembangan NOAH sebagai sebuah band.

Bahkan, kata Ariel, ciri khas musik NOAH terbentuk karena peran Uki di dalamnya.

“Dia tuh DNAnya NOAH, dia tuh engineer-nya NOAH, dia yang paling pinter,” ucap Ariel.

Baca juga: NOAH Bakal Vakum Mulai Januari 2024, Ariel: Demi Menyegarkan Otak

Tak dipungkiri, Ariel justru sempat merasa kesulitan usai Uki hengkang dari NOAH karena pengetahuan dan rasa musik ada pada Uki.

Sementara, Ariel selama ini lebih sibuk berkutat pada proses penciptaan lagu.

“Dari kami SMP, dia sudah belajar software untuk sound engineering, terus lama kelamaan pisah (tugasnya), saya yang fokus sama lagu, dia fokus sama sound engineer-nya, nah pas dia cabut tuh makanya kesel karena ternyata susah, tahu gitu dari dulu belajarnya,” tutur Ariel.

Baca juga: Dikeluarkan dari Peterpan, Andika Ungkap Ucapan Ariel NOAH"
Sempat Tertunda, BABYMONSTER Dipastikan Akan Debut November 2023 - Kompas.com;Kompas;https://www.kompas.com/hype/read/2023/10/10/145203566/sempat-tertunda-babymonster-dipastikan-akan-debut-november-2023;Hiburan;"KOMPAS.com - Agensi YG Entertainment memberikan bocoran tentang debut BABYMONSTER yang telah lama dinantikan penggemarnya.

BABYMONSTER dipastikan akan debut pada November 2023.

Kabar tersebut diungkap YG Entertainment dalam teaser yang dibagikan di media sosialnya.

YG Entertainment memberikan pemberitahuan bahwa BABYMONSTER akan segera hadir.

Baca juga: Lirik Lagu Dream, Singel Pre-debut dari BABYMONSTER

Mereka juga memunculkan logo baru untuk nama grup tersebut.

Dalam siaran pers-nya, YG Entertainment mengatakan, BABYMONSTER akan debut pada bulan depan.

“Semua persiapan sudah selesai sekarang. Kami akan terus bekerja dengan kecepatan penuh agar BABYMONSTER dapat debut pada bulan November,” ujar YG Entertainment dalam siaran pers-nya dikutip dari Koreaboo, Selasa (10/10/2023).

Saat ini, BABYMONSTER sedang berlatih koreografi untuk lagu utama mereka.

Baca juga: BABYMONSTER Rilis Lagu Dream

Pada akhir Oktober mendatang, BABYMONSTER akan syuting video musik mereka.

“Kami ekstra hati-hati dalam memilih judul lagu sehingga kami dapat membalas budi para penggemar dengan kualitas terbaik,” ucap YG Entertainment."
